seed,simulation time,batch size,inference time,accuracy
3,5,1024,0.7239303588867188,81.74
3,10,1024,0.7775857448577881,97.64
3,25,1024,1.0744454860687256,97.84
3,50,1024,1.7190186977386475,97.86
4,1,1,24.822373628616333,9.74
4,5,1,83.3072509765625,81.74
4,10,1,154.48461318016052,97.64
4,25,1,323.7958753108978,97.84
4,1,2,12.23352336883545,9.74
4,5,2,37.01306700706482,81.74
4,10,2,67.72751688957214,97.64
4,25,2,156.60450911521912,97.84
4,50,2,305.52757501602173,97.86
4,1,4,6.433467388153076,9.74
4,5,4,18.637850046157837,81.74
4,10,4,34.19815969467163,97.64
4,25,4,79.42018222808838,97.84
4,50,4,153.67348790168762,97.86
4,1,8,3.3495500087738037,9.74
4,5,8,9.542277812957764,81.74
4,10,8,17.350573539733887,97.64
4,25,8,39.695895195007324,97.84
4,50,8,77.22943043708801,97.86
4,1,16,1.8477494716644287,9.74
4,5,16,4.914741277694702,81.74
4,10,16,8.791800498962402,97.64
4,25,16,20.2038357257843,97.84
4,50,16,39.22868084907532,97.86
4,1,32,1.154482364654541,9.74
4,5,32,2.5962507724761963,81.74
4,10,32,4.540632724761963,97.64
4,25,32,10.371970415115356,97.84
4,50,32,20.089898347854614,97.86
4,1,64,0.81636643409729,9.74
4,5,64,1.4006259441375732,81.74
4,10,64,2.425572395324707,97.64
4,25,64,5.43710994720459,97.84
4,50,64,10.35865044593811,97.86
4,1,128,0.661829948425293,9.74
4,5,128,0.8847339153289795,81.74
4,10,128,1.3741278648376465,97.64
4,25,128,2.9694406986236572,97.84
4,50,128,5.568411111831665,97.86
4,1,256,0.617088794708252,9.74
4,5,256,0.7318460941314697,81.74
4,10,256,0.9189140796661377,97.64
4,25,256,1.7448103427886963,97.84
4,50,256,3.1792972087860107,97.86
4,1,512,0.592620849609375,9.74
4,5,512,0.7192063331604004,81.74
4,10,512,0.790027379989624,97.64
4,25,512,1.2094449996948242,97.84
4,50,512,2.0818190574645996,97.86
4,1,1024,0.6537086963653564,9.74
4,5,1024,0.6920857429504395,81.74
4,10,1024,0.821397066116333,97.64
4,25,1024,1.054596185684204,97.84
4,50,1024,1.7141447067260742,97.86
5,1,1,23.65889835357666,9.74
5,5,1,72.97782969474792,81.74
5,10,1,134.66399240493774,97.64
5,25,1,311.5277202129364,97.84
5,1,2,12.285199403762817,9.74
5,5,2,37.07440972328186,81.74
5,10,2,67.97509431838989,97.64
5,25,2,157.14027905464172,97.84
5,50,2,305.1892409324646,97.86
5,1,4,6.385666847229004,9.74
5,5,4,18.61306667327881,81.74
5,10,4,34.050193786621094,97.64
5,25,4,79.1908974647522,97.84
5,50,4,153.27000403404236,97.86
5,1,8,3.3203341960906982,9.74
5,5,8,9.534001588821411,81.74
5,10,8,17.424484252929688,97.64
