seed,simulation time,batch size,inference time,accuracy
0,1,2048,0.763817310333252,9.74
0,5,2048,0.8438401222229004,81.74
0,10,2048,0.8918657302856445,97.64
0,25,2048,1.2791509628295898,97.84
0,50,2048,1.9975740909576416,97.86
1,1,2048,0.7669696807861328,9.74
1,5,2048,0.8283910751342773,81.74
1,10,2048,0.9063611030578613,97.64
1,25,2048,1.2242143154144287,97.84
1,50,2048,2.0117626190185547,97.86
2,1,2048,0.757897138595581,9.74
2,5,2048,0.8466796875,81.74
2,10,2048,0.9105210304260254,97.64
2,25,2048,1.2581450939178467,97.84
2,50,2048,2.062565803527832,97.86
3,1,2048,0.7726893424987793,9.74
3,5,2048,0.8527536392211914,81.74
3,10,2048,0.9218027591705322,97.64
3,25,2048,1.2383995056152344,97.84
3,50,2048,2.0081777572631836,97.86
4,1,2048,0.7598531246185303,9.74
4,5,2048,0.8440392017364502,81.74
4,10,2048,0.9085967540740967,97.64
4,25,2048,1.2499923706054688,97.84
4,50,2048,1.9953417778015137,97.86
5,1,2048,0.7847516536712646,9.74
5,5,2048,0.8307046890258789,81.74
5,10,2048,0.901883602142334,97.64
5,25,2048,1.2468557357788086,97.84
5,50,2048,2.050189256668091,97.86
6,1,2048,0.7617385387420654,9.74
6,5,2048,0.8334681987762451,81.74
6,10,2048,0.915123701095581,97.64
6,25,2048,1.228626012802124,97.84
6,50,2048,2.0402450561523438,97.86
7,1,2048,0.7658255100250244,9.74
7,5,2048,0.8306560516357422,81.74
7,10,2048,0.9107387065887451,97.64
7,25,2048,1.2563045024871826,97.84
7,50,2048,2.0672972202301025,97.86
8,1,2048,0.7736327648162842,9.74
8,5,2048,0.8217697143554688,81.74
8,10,2048,0.8917207717895508,97.64
8,25,2048,1.220987319946289,97.84
8,50,2048,1.9730193614959717,97.86
9,1,2048,0.7618262767791748,9.74
9,5,2048,0.8442056179046631,81.74
9,10,2048,0.9151551723480225,97.64
9,25,2048,1.2808005809783936,97.84
9,50,2048,2.079942226409912,97.86
