seed,input neurons,output neurons,time,batch size,init time,data generation time,simulation time
0,100,10000,1000,1,0.020696401596069336,0.004821062088012695,0.32470178604125977
0,100,10000,1000,2,0.0002071857452392578,0.0019004344940185547,0.33236217498779297
0,100,10000,1000,4,0.00038623809814453125,0.0023834705352783203,0.3329615592956543
0,100,10000,1000,8,0.0004012584686279297,0.0036449432373046875,0.33090734481811523
0,100,10000,1000,16,0.0003871917724609375,0.006395101547241211,0.3270444869995117
0,100,10000,1000,32,0.0005350112915039062,0.011028051376342773,0.40482139587402344
0,100,10000,1000,64,0.0009007453918457031,0.021561861038208008,0.6999707221984863
0,100,10000,1000,128,0.0018434524536132812,0.04277515411376953,1.212160348892212
0,100,10000,1000,256,0.003682851791381836,0.08295941352844238,2.3617970943450928
0,100,10000,1000,512,0.0073490142822265625,0.1629340648651123,4.658909559249878
0,100,10000,1000,1024,0.016396045684814453,0.32891130447387695,9.26472806930542
1,100,10000,1000,1,0.0003216266632080078,0.0012476444244384766,0.3170950412750244
1,100,10000,1000,2,0.0001983642578125,0.001565694808959961,0.3218705654144287
1,100,10000,1000,4,0.0002586841583251953,0.0022933483123779297,0.32230043411254883
1,100,10000,1000,8,0.000293731689453125,0.003563404083251953,0.3236088752746582
1,100,10000,1000,16,0.00034117698669433594,0.005996227264404297,0.3271980285644531
1,100,10000,1000,32,0.0005154609680175781,0.011474847793579102,0.4038357734680176
1,100,10000,1000,64,0.0008702278137207031,0.021791458129882812,0.6995291709899902
1,100,10000,1000,128,0.0019621849060058594,0.04304623603820801,1.212221384048462
1,100,10000,1000,256,0.003650188446044922,0.0826864242553711,2.3626413345336914
1,100,10000,1000,512,0.007345438003540039,0.16359925270080566,4.664140224456787
1,100,10000,1000,1024,0.016326189041137695,0.3310127258300781,9.257301568984985
2,100,10000,1000,1,0.0001983642578125,0.0012633800506591797,0.3174571990966797
2,100,10000,1000,2,0.0002048015594482422,0.0015952587127685547,0.32404184341430664
2,100,10000,1000,4,0.0002830028533935547,0.0022821426391601562,0.32356882095336914
2,100,10000,1000,8,0.0002949237823486328,0.003484964370727539,0.32167720794677734
2,100,10000,1000,16,0.0003838539123535156,0.005936861038208008,0.3266477584838867
2,100,10000,1000,32,0.0005331039428710938,0.011449575424194336,0.4041457176208496
2,100,10000,1000,64,0.0009055137634277344,0.021520376205444336,0.6986188888549805
2,100,10000,1000,128,0.001861572265625,0.042496442794799805,1.2139415740966797
2,100,10000,1000,256,0.003663778305053711,0.08270120620727539,2.364790439605713
2,100,10000,1000,512,0.007300853729248047,0.16469478607177734,4.665060758590698
2,100,10000,1000,1024,0.016939878463745117,0.33061861991882324,9.265724658966064
3,100,10000,1000,1,0.0001971721649169922,0.0012505054473876953,0.3200709819793701
3,100,10000,1000,2,0.00022721290588378906,0.0019397735595703125,0.3282487392425537
3,100,10000,1000,4,0.0002760887145996094,0.0023453235626220703,0.32777976989746094
3,100,10000,1000,8,0.0002980232238769531,0.003571033477783203,0.32878613471984863
3,100,10000,1000,16,0.0003578662872314453,0.006032228469848633,0.32977795600891113
3,100,10000,1000,32,0.0005249977111816406,0.011599540710449219,0.4074554443359375
3,100,10000,1000,64,0.0008804798126220703,0.022058725357055664,0.7009580135345459
3,100,10000,1000,128,0.0018041133880615234,0.042844295501708984,1.2159252166748047
3,100,10000,1000,256,0.0036749839782714844,0.08347439765930176,2.364480972290039
3,100,10000,1000,512,0.007268667221069336,0.1650831699371338,4.665898323059082
3,100,10000,1000,1024,0.01732635498046875,0.33463096618652344,9.258184909820557
4,100,10000,1000,1,0.00019693374633789062,0.001405477523803711,0.3239784240722656
4,100,10000,1000,2,0.0002300739288330078,0.001607656478881836,0.33040690422058105
4,100,10000,1000,4,0.00027823448181152344,0.002364635467529297,0.3286120891571045
4,100,10000,1000,8,0.00029969215393066406,0.003650188446044922,0.3297128677368164
4,100,10000,1000,16,0.0003497600555419922,0.00609278678894043,0.33168458938598633
4,100,10000,1000,32,0.000530242919921875,0.0115966796875,0.4067847728729248
4,100,10000,1000,64,0.0008966922760009766,0.02192974090576172,0.6984736919403076
4,100,10000,1000,128,0.0018053054809570312,0.04325437545776367,1.213756799697876
4,100,10000,1000,256,0.0036559104919433594,0.08347010612487793,2.364638328552246
4,100,10000,1000,512,0.007302284240722656,0.16563177108764648,4.665388584136963
4,100,10000,1000,1024,0.016881704330444336,0.33142876625061035,9.270344257354736
5,100,10000,1000,1,0.00022459030151367188,0.0013234615325927734,0.3263375759124756
5,100,10000,1000,2,0.000209808349609375,0.0016407966613769531,0.3329157829284668
5,100,10000,1000,4,0.00027751922607421875,0.002278566360473633,0.33028483390808105
5,100,10000,1000,8,0.00030112266540527344,0.003556489944458008,0.3266592025756836
5,100,10000,1000,16,0.000354766845703125,0.005971193313598633,0.33025360107421875
5,100,10000,1000,32,0.0005474090576171875,0.011501550674438477,0.4063143730163574
