seed,input neurons,output neurons,time,batch size,init time,data generation time,simulation time
0,100,100,1000,1,0.020020723342895508,0.004401445388793945,0.31887006759643555
0,100,100,1000,2,0.00019121170043945312,0.0017001628875732422,0.32337045669555664
0,100,100,1000,4,0.00018525123596191406,0.0025157928466796875,0.32466721534729004
0,100,100,1000,8,0.00018787384033203125,0.003795623779296875,0.31918787956237793
0,100,100,1000,16,0.00036144256591796875,0.006654977798461914,0.32012248039245605
0,100,100,1000,32,0.0001857280731201172,0.012565374374389648,0.3187978267669678
0,100,100,1000,64,0.00018835067749023438,0.023703813552856445,0.3210163116455078
0,100,100,1000,128,0.000194549560546875,0.046324729919433594,0.3249490261077881
0,100,100,1000,256,0.0002071857452392578,0.09215855598449707,0.34013986587524414
0,100,100,1000,512,0.0005047321319580078,0.16126751899719238,0.3626577854156494
0,100,100,1000,1024,0.00032711029052734375,0.3100557327270508,0.4154365062713623
