seed,input neurons,output neurons,time,batch size,init time,data generation time,simulation time
0,100,1000,1000,1,0.017910480499267578,0.00032806396484375,0.301663875579834
0,100,1000,1000,2,0.00020432472229003906,0.0001533031463623047,0.30817317962646484
0,100,1000,1000,4,0.00020194053649902344,0.0001556873321533203,0.30667614936828613
0,100,1000,1000,8,0.0002396106719970703,0.00016236305236816406,0.3087043762207031
0,100,1000,1000,16,0.0002090930938720703,0.00017333030700683594,0.30823493003845215
0,100,1000,1000,32,0.00022292137145996094,0.0002033710479736328,0.3099639415740967
0,100,1000,1000,64,0.00045680999755859375,0.0002779960632324219,0.31471705436706543
0,100,1000,1000,128,0.0004773139953613281,0.0003845691680908203,0.31351733207702637
0,100,1000,1000,256,0.0005736351013183594,0.0008485317230224609,0.3178224563598633
0,100,1000,1000,512,0.0008540153503417969,0.001260995864868164,0.5362107753753662
0,100,1000,1000,1024,0.0015990734100341797,0.0018558502197265625,0.9633073806762695
1,100,1000,1000,1,0.00019621849060058594,0.00014925003051757812,0.30565452575683594
1,100,1000,1000,2,0.00019884109497070312,0.0001494884490966797,0.30805540084838867
1,100,1000,1000,4,0.00020122528076171875,0.00015354156494140625,0.30663394927978516
1,100,1000,1000,8,0.0002052783966064453,0.00016045570373535156,0.30680012702941895
1,100,1000,1000,16,0.00021147727966308594,0.00021076202392578125,0.30825376510620117
1,100,1000,1000,32,0.0002281665802001953,0.00020694732666015625,0.3096191883087158
1,100,1000,1000,64,0.00029158592224121094,0.00027108192443847656,0.31187868118286133
1,100,1000,1000,128,0.0003266334533691406,0.00038242340087890625,0.31310129165649414
1,100,1000,1000,256,0.0004525184631347656,0.0006425380706787109,0.31781649589538574
1,100,1000,1000,512,0.000823974609375,0.0010445117950439453,0.5354795455932617
1,100,1000,1000,1024,0.0016980171203613281,0.0018515586853027344,0.9637670516967773
2,100,1000,1000,1,0.00020456314086914062,0.00014972686767578125,0.30580735206604004
2,100,1000,1000,2,0.00020241737365722656,0.0001518726348876953,0.30734825134277344
2,100,1000,1000,4,0.00020360946655273438,0.00016117095947265625,0.3074772357940674
2,100,1000,1000,8,0.0002117156982421875,0.0001614093780517578,0.3087925910949707
2,100,1000,1000,16,0.00022339820861816406,0.00017452239990234375,0.30937862396240234
2,100,1000,1000,32,0.0002276897430419922,0.0002071857452392578,0.30756545066833496
2,100,1000,1000,64,0.0003139972686767578,0.00027298927307128906,0.31102442741394043
2,100,1000,1000,128,0.00032591819763183594,0.0003838539123535156,0.31331396102905273
2,100,1000,1000,256,0.05450582504272461,0.0007545948028564453,0.31419920921325684
2,100,1000,1000,512,0.0008413791656494141,0.0010685920715332031,0.5355672836303711
2,100,1000,1000,1024,0.0016605854034423828,0.001833200454711914,0.963878870010376
3,100,1000,1000,1,0.00020122528076171875,0.00014853477478027344,0.30715107917785645
3,100,1000,1000,2,0.00019979476928710938,0.00015020370483398438,0.3081705570220947
3,100,1000,1000,4,0.0002009868621826172,0.00015354156494140625,0.30747151374816895
3,100,1000,1000,8,0.00020503997802734375,0.00016260147094726562,0.30747461318969727
3,100,1000,1000,16,0.00021529197692871094,0.00017642974853515625,0.3099350929260254
3,100,1000,1000,32,0.0002307891845703125,0.00020837783813476562,0.30999040603637695
3,100,1000,1000,64,0.0002741813659667969,0.000270843505859375,0.31239914894104004
3,100,1000,1000,128,0.0003247261047363281,0.0003845691680908203,0.31332945823669434
