seed,input neurons,output neurons,time,batch size,init time,data generation time,simulation time
0,100,10,1000,1,0.020595073699951172,0.0048675537109375,0.315716028213501
0,100,10,1000,2,0.0001900196075439453,0.0018138885498046875,0.3238208293914795
0,100,10,1000,4,0.00018358230590820312,0.0024323463439941406,0.3236994743347168
0,100,10,1000,8,0.0001876354217529297,0.003862619400024414,0.32207703590393066
0,100,10,1000,16,0.000194549560546875,0.006567478179931641,0.32743334770202637
0,100,10,1000,32,0.0001862049102783203,0.01230764389038086,0.32809019088745117
0,100,10,1000,64,0.0001881122589111328,0.02400374412536621,0.33115148544311523
0,100,10,1000,128,0.0001857280731201172,0.047934770584106445,0.33208370208740234
0,100,10,1000,256,0.00019049644470214844,0.09281110763549805,0.3364901542663574
0,100,10,1000,512,0.00019288063049316406,0.168410062789917,0.35978150367736816
0,100,10,1000,1024,0.00031828880310058594,0.3170192241668701,0.40729737281799316
1,100,10,1000,1,0.0001857280731201172,0.0012171268463134766,0.3114485740661621
1,100,10,1000,2,0.00018739700317382812,0.0015444755554199219,0.3125472068786621
1,100,10,1000,4,0.0001819133758544922,0.0021736621856689453,0.31532955169677734
1,100,10,1000,8,0.00018453598022460938,0.0033540725708007812,0.316831111907959
1,100,10,1000,16,0.0001842975616455078,0.005747318267822266,0.31945347785949707
1,100,10,1000,32,0.00018405914306640625,0.010585784912109375,0.31630516052246094
1,100,10,1000,64,0.00018835067749023438,0.01963353157043457,0.32273292541503906
1,100,10,1000,128,0.00018596649169921875,0.04082489013671875,0.3263239860534668
1,100,10,1000,256,0.00019121170043945312,0.07892537117004395,0.3366680145263672
1,100,10,1000,512,0.00020003318786621094,0.15330767631530762,0.3578803539276123
1,100,10,1000,1024,0.00025773048400878906,0.3143000602722168,0.42267918586730957
2,100,10,1000,1,0.00018906593322753906,0.001344442367553711,0.35037851333618164
2,100,10,1000,2,0.00020432472229003906,0.0017650127410888672,0.3506300449371338
2,100,10,1000,4,0.0001900196075439453,0.0022318363189697266,0.33289170265197754
2,100,10,1000,8,0.0002105236053466797,0.0035393238067626953,0.32131075859069824
2,100,10,1000,16,0.00027370452880859375,0.005898952484130859,0.3556225299835205
2,100,10,1000,32,0.00018548965454101562,0.010695695877075195,0.3471682071685791
