seed,input neurons,output neurons,time,batch size,init time,data generation time,simulation time
0,100,10,1000,1,0.020420312881469727,0.0052585601806640625,0.5875773429870605
0,100,10,1000,2,0.00030493736267089844,0.0015714168548583984,0.5914773941040039
0,100,10,1000,4,0.00029921531677246094,0.002187967300415039,0.5901319980621338
0,100,10,1000,8,0.000301361083984375,0.0033843517303466797,0.5922665596008301
0,100,10,1000,16,0.00030231475830078125,0.005860805511474609,0.5972611904144287
0,100,10,1000,32,0.00030350685119628906,0.010611534118652344,0.6015923023223877
0,100,10,1000,64,0.00030303001403808594,0.020602703094482422,0.6023666858673096
0,100,10,1000,128,0.00030517578125,0.04012560844421387,0.6094813346862793
0,100,10,1000,256,0.000308990478515625,0.07916688919067383,0.6044440269470215
0,100,10,1000,512,0.00040984153747558594,0.15466642379760742,0.62717604637146
0,100,10,1000,1024,0.0004982948303222656,0.3158247470855713,0.8873460292816162
1,100,10,1000,1,0.0003542900085449219,0.0012400150299072266,0.5681686401367188
1,100,10,1000,2,0.0002963542938232422,0.0015594959259033203,0.5804572105407715
1,100,10,1000,4,0.00032711029052734375,0.0021638870239257812,0.5830600261688232
1,100,10,1000,8,0.0003142356872558594,0.0033822059631347656,0.5795893669128418
1,100,10,1000,16,0.0002999305725097656,0.0057811737060546875,0.5870242118835449
1,100,10,1000,32,0.00030803680419921875,0.010854005813598633,0.5920932292938232
1,100,10,1000,64,0.00030112266540527344,0.020856142044067383,0.5919108390808105
1,100,10,1000,128,0.00031447410583496094,0.04147481918334961,0.5980415344238281
1,100,10,1000,256,0.0003063678741455078,0.08034658432006836,0.6023602485656738
1,100,10,1000,512,0.000324249267578125,0.15546178817749023,0.6296465396881104
1,100,10,1000,1024,0.00038552284240722656,0.3145308494567871,0.8895056247711182
2,100,10,1000,1,0.0003333091735839844,0.0012295246124267578,0.5698418617248535
2,100,10,1000,2,0.00039505958557128906,0.0015401840209960938,0.5790708065032959
2,100,10,1000,4,0.0003027915954589844,0.002186298370361328,0.592038631439209
2,100,10,1000,8,0.00030493736267089844,0.0033910274505615234,0.6351890563964844
2,100,10,1000,16,0.00030350685119628906,0.005864620208740234,0.6426305770874023
2,100,10,1000,32,0.00031375885009765625,0.011618614196777344,0.6138515472412109
2,100,10,1000,64,0.0003159046173095703,0.021532773971557617,0.6375138759613037
2,100,10,1000,128,0.0003147125244140625,0.04191994667053223,0.6559467315673828
2,100,10,1000,256,0.0003237724304199219,0.07965469360351562,0.646148681640625
2,100,10,1000,512,0.0003190040588378906,0.15597772598266602,0.7016940116882324
2,100,10,1000,1024,0.00039076805114746094,0.3168954849243164,0.8977763652801514
3,100,10,1000,1,0.00033020973205566406,0.0012600421905517578,0.5898356437683105
3,100,10,1000,2,0.0003228187561035156,0.0015993118286132812,0.5892000198364258
3,100,10,1000,4,0.0003039836883544922,0.0023648738861083984,0.6297736167907715
3,100,10,1000,8,0.00029730796813964844,0.003405332565307617,0.6159260272979736
3,100,10,1000,16,0.00034356117248535156,0.005734682083129883,0.6162276268005371
3,100,10,1000,32,0.0003070831298828125,0.01072549819946289,0.6092755794525146
3,100,10,1000,64,0.0003256797790527344,0.020985126495361328,0.6147089004516602
3,100,10,1000,128,0.00030040740966796875,0.04080343246459961,0.6073071956634521
3,100,10,1000,256,0.00030922889709472656,0.07961034774780273,0.661491870880127
3,100,10,1000,512,0.00031685829162597656,0.15590190887451172,0.641373872756958
3,100,10,1000,1024,0.0003650188446044922,0.32234668731689453,0.8929457664489746
4,100,10,1000,1,0.0002961158752441406,0.0012934207916259766,0.5888125896453857
4,100,10,1000,2,0.0003612041473388672,0.0017094612121582031,0.6207242012023926
4,100,10,1000,4,0.0003178119659423828,0.002389669418334961,0.6163070201873779
4,100,10,1000,8,0.00038814544677734375,0.003486156463623047,0.5999658107757568
4,100,10,1000,16,0.0003345012664794922,0.005812406539916992,0.627159595489502
4,100,10,1000,32,0.0003075599670410156,0.01311802864074707,0.6049454212188721
4,100,10,1000,64,0.0003018379211425781,0.02420806884765625,0.6389474868774414
4,100,10,1000,128,0.0004203319549560547,0.05073213577270508,0.6549344062805176
4,100,10,1000,256,0.0003311634063720703,0.08175230026245117,0.6233417987823486
4,100,10,1000,512,0.00035071372985839844,0.15731239318847656,0.638491153717041
4,100,10,1000,1024,0.005257606506347656,0.3214290142059326,0.915762186050415
5,100,10,1000,1,0.0004260540008544922,0.0012819766998291016,0.5965244770050049
5,100,10,1000,2,0.0003535747528076172,0.001638650894165039,0.5893831253051758
