seed,simulation time,batch size,inference time,accuracy
0,100,512,4.160459280014038,95.39
0,500,256,30.014253616333008,95.47
0,100,512,4.009760141372681,95.39
0,100,512,3.9753732681274414,95.39
0,100,512,3.997805118560791,95.39
0,100,512,4.064384937286377,95.39
0,100,512,4.061398983001709,96.57
0,500,512,17.087564706802368,96.57
0,250,512,9.016454219818115,96.56
0,100,512,3.680028200149536,96.57
0,50,512,2.0041587352752686,96.57
0,10,512,1.0770387649536133,96.11
0,1,512,0.9426710605621338,9.74
0,2,512,0.9617090225219727,9.74
0,3,512,0.9738080501556396,9.74
0,4,512,0.9857158660888672,15.12
0,5,512,0.9971990585327148,78.9
0,10,512,1.070500135421753,96.11
0,15,512,1.1341979503631592,96.39
0,20,512,1.2121715545654297,96.51
0,25,512,1.2956042289733887,96.56
0,25,1024,1.2011032104492188,96.56
0,50,1024,1.9146394729614258,96.57
0,50,1024,1.8421757221221924,97.86
0,100,1024,3.33282208442688,97.86
0,25,1024,1.1571574211120605,97.84
0,50,2048,1.9984817504882812,97.86
0,25,1024,1.4216639995574951,97.86
0,1,1024,0.6770954132080078,29.37
0,1,1024,0.665818452835083,9.74
0,2,1024,0.6943261623382568,94.03
0,2,1024,0.7033662796020508,9.74
0,3,1024,0.7060372829437256,97.3
0,3,1024,0.6935939788818359,9.74
0,4,1024,0.7423031330108643,97.62
0,4,1024,0.7582757472991943,97.62
0,4,1024,0.7140769958496094,14.51
0,5,1024,0.7892811298370361,97.73
0,5,1024,0.7415468692779541,81.74
0,10,1024,0.8839373588562012,97.86
0,10,1024,0.8421127796173096,97.64
0,10,1024,1.553170919418335,97.64
0,10,1024,1.6734299659729004,97.64
0,10,1024,4.537579774856567,97.86
0,10,1024,0.8406229019165039,97.86
0,10,1024,0.8231368064880371,97.64
0,100,1024,3.372023820877075,97.86
0,100,1024,4.3940956592559814,97.86
0,100,1024,3.676609992980957,97.86
0,100,1024,3.3328757286071777,97.86
0,100,256,6.050798177719116,97.86
0,100,256,6.975089073181152,97.86
0,5,256,0.7615649700164795,97.73
0,6,256,0.785515546798706,97.9
0,7,256,0.8295648097991943,97.87
0,8,256,0.8643062114715576,97.85
0,9,256,0.9137425422668457,97.89
0,10,256,0.9844343662261963,97.86
0,10,256,0.972240686416626,97.86
0,1,256,0.6523313522338867,29.37
0,2,256,0.6679911613464355,94.03
0,10,1024,0.7897372245788574,97.86
0,1,100,1.6585588455200195,29.37
0,1,128,1.5916407108306885,29.37
0,2,128,1.742382526397705,94.03
0,3,128,1.9234719276428223,97.3
0,4,128,2.0862157344818115,97.62
0,5,128,2.2833149433135986,97.73
0,10,128,3.2063441276550293,97.86
